Year,Age,Characteristic,Estimate,MeasurementLabel,CrimeCategory
2024,55-64,Yorkshire and The Humber,11.54%,Worried about violent crime,violent-crime
2024,65-74,Yorkshire and The Humber,10.79%,Worried about violent crime,violent-crime
2024,75+,Yorkshire and The Humber,4.27%,Worried about violent crime,violent-crime
2024,16-24,Yorkshire and The Humber,0.0%,Worried about violent crime,violent-crime
2024,16+,Yorkshire and The Humber,3.42%,Worried about violent crime,violent-crime
2024,25-34,Yorkshire and The Humber,1.07%,Worried about violent crime,violent-crime
2024,35-44,Yorkshire and The Humber,4.77%,Worried about violent crime,violent-crime
2024,45-54,Yorkshire and The Humber,4.72%,Worried about violent crime,violent-crime
2024,55-64,Yorkshire and The Humber,3.64%,Worried about violent crime,violent-crime
2024,65-74,Yorkshire and The Humber,5.08%,Worried about violent crime,violent-crime
2024,75+,Yorkshire and The Humber,2.7%,Worried about violent crime,violent-crime
2024,16-24,Yorkshire and The Humber,41.94%,Perceived change in crime level in the past few years - Country (up a lot),
2024,16+,Yorkshire and The Humber,56.4%,Perceived change in crime level in the past few years - Country (up a lot),
2024,25-34,Yorkshire and The Humber,40.89%,Perceived change in crime level in the past few years - Country (up a lot),
2024,35-44,Yorkshire and The Humber,53.7%,Perceived change in crime level in the past few years - Country (up a lot),
2024,45-54,Yorkshire and The Humber,56.32%,Perceived change in crime level in the past few years - Country (up a lot),
2024,55-64,Yorkshire and The Humber,63.95%,Perceived change in crime level in the past few years - Country (up a lot),
2024,65-74,Yorkshire and The Humber,68.34%,Perceived change in crime level in the past few years - Country (up a lot),
2024,75+,Yorkshire and The Humber,71.71%,Perceived change in crime level in the past few years - Country (up a lot),
2024,16-24,Yorkshire and The Humber,45.73%,Perceived change in crime level in the past few years - Country (up a lot),
2024,16+,Yorkshire and The Humber,61.38%,Perceived change in crime level in the past few years - Country (up a lot),
2024,25-34,Yorkshire and The Humber,52.56%,Perceived change in crime level in the past few years - Country (up a lot),
2024,35-44,Yorkshire and The Humber,54.78%,Perceived change in crime level in the past few years - Country (up a lot),
2024,45-54,Yorkshire and The Humber,68.06%,Perceived change in crime level in the past few years - Country (up a lot),
2024,55-64,Yorkshire and The Humber,68.25%,Perceived change in crime level in the past few years - Country (up a lot),
2024,65-74,Yorkshire and The Humber,73.86%,Perceived change in crime level in the past few years - Country (up a lot),
2024,75+,Yorkshire and The Humber,70.96%,Perceived change in crime level in the past few years - Country (up a lot),
2024,16-24,Yorkshire and The Humber,35.66%,Perceived change in crime level in the past few years - Country (up a lot),
2024,16+,Yorkshire and The Humber,51.02%,Perceived change in crime level in the past few years - Country (up a lot),
2024,25-34,Yorkshire and The Humber,29.12%,Perceived change in crime level in the past few years - Country (up a lot),
2024,35-44,Yorkshire and The Humber,52.62%,Perceived change in crime level in the past few years - Country (up a lot),
2024,45-54,Yorkshire and The Humber,45.55%,Perceived change in crime level in the past few years - Country (up a lot),
2024,55-64,Yorkshire and The Humber,60.03%,Perceived change in crime level in the past few years - Country (up a lot),
2024,65-74,Yorkshire and The Humber,61.66%,Perceived change in crime level in the past few years - Country (up a lot),
2024,75+,Yorkshire and The Humber,72.52%,Perceived change in crime level in the past few years - Country (up a lot),
2024,16-24,Yorkshire and The Humber,15.67%,Perceived change in crime level in the past few years - Local (up a lot),
2024,16+,Yorkshire and The Humber,19.85%,Perceived change in crime level in the past few years - Local (up a lot),
2024,25-34,Yorkshire and The Humber,13.59%,Perceived change in crime level in the past few years - Local (up a lot),
2024,35-44,Yorkshire and The Humber,23.25%,Perceived change in crime level in the past few years - Local (up a lot),
2024,45-54,Yorkshire and The Humber,28.13%,Perceived change in crime level in the past few years - Local (up a lot),
2024,55-64,Yorkshire and The Humber,25.06%,Perceived change in crime level in the past few years - Local (up a lot),
2024,65-74,Yorkshire and The Humber,19.35%,Perceived change in crime level in the past few years - Local (up a lot),
2024,75+,Yorkshire and The Humber,12.52%,Perceived change in crime level in the past few years - Local (up a lot),
2024,16-24,Yorkshire and The Humber,17.41%,Perceived change in crime level in the past few years - Local (up a lot),
2024,16+,Yorkshire and The Humber,22.55%,Perceived change in crime level in the past few years - Local (up a lot),
2024,25-34,Yorkshire and The Humber,18.29%,Perceived change in crime level in the past few years - Local (up a lot),
2024,35-44,Yorkshire and The Humber,28.07%,Perceived change in crime level in the past few years - Local (up a lot),
2024,45-54,Yorkshire and The Humber,31.53%,Perceived change in crime level in the past few years - Local (up a lot),
2024,55-64,Yorkshire and The Humber,29.63%,Perceived change in crime level in the past few years - Local (up a lot),
2024,65-74,Yorkshire and The Humber,23.72%,Perceived change in crime level in the past few years - Local (up a lot),
2024,75+,Yorkshire and The Humber,8.71%,Perceived change in crime level in the past few years - Local (up a lot),
2024,16-24,Yorkshire and The Humber,12.81%,Perceived change in crime level in the past few years - Local (up a lot),
2024,16+,Yorkshire and The Humber,16.99%,Perceived change in crime level in the past few years - Local (up a lot),
2024,25-34,Yorkshire and The Humber,8.85%,Perceived change in crime level in the past few years - Local (up a lot),
2024,35-44,Yorkshire and The Humber,18.48%,Perceived change in crime level in the past few years - Local (up a lot),
2024,45-54,Yorkshire and The Humber,25.03%,Perceived change in crime level in the past few years - Local (up a lot),
2024,55-64,Yorkshire and The Humber,21.09%,Perceived change in crime level in the past few years - Local (up a lot),
2024,65-74,Yorkshire and The Humber,14.21%,Perceived change in crime level in the past few years - Local (up a lot),
2024,75+,Yorkshire and The Humber,16.34%,Perceived change in crime level in the past few years - Local (up a lot),
2024,16-24,Yorkshire and The Humber,50.28%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16+,Yorkshire and The Humber,26.04%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,25-34,Yorkshire and The Humber,25.91%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,35-44,Yorkshire and The Humber,22.6%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,45-54,Yorkshire and The Humber,38.32%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,55-64,Yorkshire and The Humber,18.93%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,65-74,Yorkshire and The Humber,16.82%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,75+,Yorkshire and The Humber,11.84%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16-24,Yorkshire and The Humber,59.21%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16+,Yorkshire and The Humber,28.13%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,25-34,Yorkshire and The Humber,31.5%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,35-44,Yorkshire and The Humber,17.56%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,45-54,Yorkshire and The Humber,38.11%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,55-64,Yorkshire and The Humber,27.64%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,65-74,Yorkshire and The Humber,15.0%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,75+,Yorkshire and The Humber,14.73%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16-24,Yorkshire and The Humber,43.67%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16+,Yorkshire and The Humber,23.79%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,25-34,Yorkshire and The Humber,19.51%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,35-44,Yorkshire and The Humber,29.42%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,45-54,Yorkshire and The Humber,38.61%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,55-64,Yorkshire and The Humber,9.69%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,65-74,Yorkshire and The Humber,18.78%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,75+,Yorkshire and The Humber,9.35%,Perceived problem with  people using or dealing drugs in the local area,drugs
2024,16-24,Yorkshire and The Humber,21.62%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16+,Yorkshire and The Humber,11.13%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,25-34,Yorkshire and The Humber,14.2%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,35-44,Yorkshire and The Humber,10.44%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,45-54,Yorkshire and The Humber,17.35%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,55-64,Yorkshire and The Humber,5.6%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,65-74,Yorkshire and The Humber,6.5%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,75+,Yorkshire and The Humber,2.98%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16-24,Yorkshire and The Humber,32.8%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16+,Yorkshire and The Humber,13.43%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,25-34,Yorkshire and The Humber,11.99%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,35-44,Yorkshire and The Humber,10.67%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,45-54,Yorkshire and The Humber,19.07%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,55-64,Yorkshire and The Humber,10.16%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,65-74,Yorkshire and The Humber,10.45%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,75+,Yorkshire and The Humber,2.66%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16-24,Yorkshire and The Humber,13.35%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16+,Yorkshire and The Humber,8.72%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,25-34,Yorkshire and The Humber,16.73%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,35-44,Yorkshire and The Humber,10.15%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,45-54,Yorkshire and The Humber,15.27%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,55-64,Yorkshire and The Humber,0.91%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,65-74,Yorkshire and The Humber,2.17%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,75+,Yorkshire and The Humber,3.25%,Perceived problem with people being drunk or rowdy in the local area,public-order
2024,16-24,Yorkshire and The Humber,30.52%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16+,Yorkshire and The Humber,10.91%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,10.11%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,9.66%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,17.29%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,5.63%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,3.2%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.73%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,37.08%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16+,Yorkshire and The Humber,10.86%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,8.58%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,5.6%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,18.32%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,7.28%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,4.09%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.11%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,25.66%,Perceived high level of anti-social behaviour,anti-social-behaviour
2024,16+,Yorkshire and The Humber,10.96%,Perceived high level of anti-social behaviour,anti-social-behaviour
